Collection Date,Sample Code,Bay,Buoy #,Sampler #,Plate #,# Counted,Count/m²
9/4/2019,SAB-B1-S1-P3,SAB,B1,1,3,0,0
9/4/2019,SAB-B1-S2-P3,SAB,B1,2,3,0,0
9/4/2019,SAB-B1-S3-P3,SAB,B1,3,3,1,20.97315436
9/4/2019,SAB-B2-S1-P3,SAB,B2,1,3,0,0
9/4/2019,SAB-B2-S2-P3,SAB,B2,2,3,1,20.97315436
9/4/2019,SAB-B2-S3-P3,SAB,B2,3,3,16,335.5704698
9/4/2019,SAB-B3-S1-P3,SAB,B3,1,3,1,20.97315436
9/4/2019,SAB-B3-S2-P3,SAB,B3,2,3,0,0
9/4/2019,SAB-B3-S3-P3,SAB,B3,3,3,4,83.89261745
9/4/2019,SAB-B4-S1-P3,SAB,B4,1,3,5,104.8657718
9/4/2019,SAB-B4-S2-P3,SAB,B4,2,3,4,83.89261745
9/4/2019,SAB-B4-S3-P3,SAB,B4,3,3,0,0
9/4/2019,SAB-B5-S1-P3,SAB,B5,1,3,16,335.5704698
9/4/2019,SAB-B5-S2-P3,SAB,B5,2,3,1,20.97315436
9/4/2019,SAB-B5-S3-P3,SAB,B5,3,3,5,104.8657718
10/29/2019,SAB-B1-S1-P3,SAB,B1,1,3,1,20.97315436
10/29/2019,SAB-B1-S2-P3,SAB,B1,2,3,0,0
10/29/2019,SAB-B1-S3-P3,SAB,B1,3,3,.,.
10/29/2019,SAB-B2-S1-P3,SAB,B2,1,3,4,83.89261745
10/29/2019,SAB-B2-S2-P3,SAB,B2,2,3,1,20.97315436
10/29/2019,SAB-B2-S3-P3,SAB,B2,3,3,1,20.97315436
10/29/2019,SAB-B3-S1-P3,SAB,B3,1,3,0,0
10/29/2019,SAB-B3-S2-P3,SAB,B3,2,3,0,0
10/29/2019,SAB-B3-S3-P3,SAB,B3,3,3,3,62.91946309
10/29/2019,SAB-B4-S1-P3,SAB,B4,1,3,1,20.97315436
10/29/2019,SAB-B4-S2-P3,SAB,B4,2,3,0,0
10/29/2019,SAB-B4-S3-P3,SAB,B4,3,3,1,20.97315436
10/29/2019,SAB-B5-S1-P3,SAB,B5,1,3,0,0
10/29/2019,SAB-B5-S2-P3,SAB,B5,2,3,0,0
10/29/2019,SAB-B5-S3-P3,SAB,B5,3,3,1,20.97315436
9/4/2019,ROB-B1-S1-P3,ROB,B1,1,3,6924,145218.1208
9/4/2019,ROB-B1-S2-P3,ROB,B1,2,3,6214,130327.1812
9/4/2019,ROB-B1-S3-P3,ROB,B1,3,3,5807,121791.1074
9/4/2019,ROB-B2-S1-P3,ROB,B2,1,3,7236,151761.745
9/4/2019,ROB-B2-S2-P3,ROB,B2,2,3,6776,142114.094
9/4/2019,ROB-B2-S3-P3,ROB,B2,3,3,5360,112416.1074
9/4/2019,ROB-B3-S1-P3,ROB,B3,1,3,.,.
9/4/2019,ROB-B3-S2-P3,ROB,B3,2,3,6940,145553.6913
9/4/2019,ROB-B3-S3-P3,ROB,B3,3,3,.,.
9/4/2019,ROB-B4-S1-P3,ROB,B4,1,3,6806,142743.2886
9/4/2019,ROB-B4-S2-P3,ROB,B4,2,3,6739,141338.0872
9/4/2019,ROB-B4-S3-P3,ROB,B4,3,3,6528,136912.7517
9/4/2019,ROB-B5-S1-P3,ROB,B5,1,3,5815,121958.8926
9/4/2019,ROB-B5-S2-P3,ROB,B5,2,3,6715,140834.7315
9/4/2019,ROB-B5-S3-P3,ROB,B5,3,3,6734,141233.2215
10/30/2019,ROB-B1-S1-P3,ROB,B1,1,3,2313,48510.90604
10/30/2019,ROB-B1-S2-P3,ROB,B1,2,3,3388,71057.04698
10/30/2019,ROB-B1-S3-P3,ROB,B1,3,3,3215,67428.69128
10/30/2019,ROB-B2-S1-P3,ROB,B2,1,3,1505,31564.59732
10/30/2019,ROB-B2-S2-P3,ROB,B2,2,3,1386,29068.79195
10/30/2019,ROB-B2-S3-P3,ROB,B2,3,3,2181,45742.44966
10/30/2019,ROB-B3-S1-P3,ROB,B3,1,3,2433,51027.68456
10/30/2019,ROB-B3-S2-P3,ROB,B3,2,3,2879,60381.71141
10/30/2019,ROB-B3-S3-P3,ROB,B3,3,3,3269,68561.24161
10/30/2019,ROB-B4-S1-P3,ROB,B4,1,3,1314,27558.72483
10/30/2019,ROB-B4-S2-P3,ROB,B4,2,3,.,.
10/30/2019,ROB-B4-S3-P3,ROB,B4,3,3,.,.
10/30/2019,ROB-B5-S1-P3,ROB,B5,1,3,4263,89408.55705
10/30/2019,ROB-B5-S2-P3,ROB,B5,2,3,2081,43645.13423
10/30/2019,ROB-B5-S3-P3,ROB,B5,3,3,3400,71308.72483
9/4/2019,SAB-B1-S1-P3,SAB,B1,1,2,3,62.91946309
9/4/2019,SAB-B1-S2-P3,SAB,B1,2,2,2,41.94630872
9/4/2019,SAB-B1-S3-P3,SAB,B1,3,2,3,62.91946309
9/4/2019,SAB-B2-S1-P3,SAB,B2,1,2,0,0
9/4/2019,SAB-B2-S2-P3,SAB,B2,2,2,0,0
9/4/2019,SAB-B2-S3-P3,SAB,B2,3,2,1,20.97315436
9/4/2019,SAB-B3-S1-P3,SAB,B3,1,2,1,20.97315436
9/4/2019,SAB-B3-S2-P3,SAB,B3,2,2,9,188.7583893
9/4/2019,SAB-B3-S3-P3,SAB,B3,3,2,2,41.94630872
9/4/2019,SAB-B4-S1-P3,SAB,B4,1,2,0,0
9/4/2019,SAB-B4-S2-P3,SAB,B4,2,2,0,0
9/4/2019,SAB-B4-S3-P3,SAB,B4,3,2,0,0
9/4/2019,SAB-B5-S1-P3,SAB,B5,1,2,15,314.5973154
9/4/2019,SAB-B5-S2-P3,SAB,B5,2,2,2,41.94630872
9/4/2019,SAB-B5-S3-P3,SAB,B5,3,2,6,125.8389262
10/29/2019,SAB-B1-S1-P3,SAB,B1,1,2,0,0
10/29/2019,SAB-B1-S2-P3,SAB,B1,2,2,0,0
10/29/2019,SAB-B1-S3-P3,SAB,B1,3,2,.,.
10/29/2019,SAB-B2-S1-P3,SAB,B2,1,2,2,41.94630872
10/29/2019,SAB-B2-S2-P3,SAB,B2,2,2,2,41.94630872
10/29/2019,SAB-B2-S3-P3,SAB,B2,3,2,0,0
10/29/2019,SAB-B3-S1-P3,SAB,B3,1,2,1,20.97315436
10/29/2019,SAB-B3-S2-P3,SAB,B3,2,2,1,20.97315436
10/29/2019,SAB-B3-S3-P3,SAB,B3,3,2,5,104.8657718
10/29/2019,SAB-B4-S1-P3,SAB,B4,1,2,0,0
10/29/2019,SAB-B4-S2-P3,SAB,B4,2,2,0,0
10/29/2019,SAB-B4-S3-P3,SAB,B4,3,2,1,20.97315436
10/29/2019,SAB-B5-S1-P3,SAB,B5,1,2,1,20.97315436
10/29/2019,SAB-B5-S2-P3,SAB,B5,2,2,3,62.91946309
10/29/2019,SAB-B5-S3-P3,SAB,B5,3,2,5,104.8657718
9/4/2019,ROB-B1-S1-P3,ROB,B1,1,2,5728,120134.2282
9/4/2019,ROB-B1-S2-P3,ROB,B1,2,2,6098,127894.2953
9/4/2019,ROB-B1-S3-P3,ROB,B1,3,2,6842,143498.3221
9/4/2019,ROB-B2-S1-P3,ROB,B2,1,2,6357,133326.3423
9/4/2019,ROB-B2-S2-P3,ROB,B2,2,2,5926,124286.9128
9/4/2019,ROB-B2-S3-P3,ROB,B2,3,2,6163,129257.5503
9/4/2019,ROB-B3-S1-P3,ROB,B3,1,2,6591,138234.0604
9/4/2019,ROB-B3-S2-P3,ROB,B3,2,2,6857,143812.9195
9/4/2019,ROB-B3-S3-P3,ROB,B3,3,2,6674,139974.8322
9/4/2019,ROB-B4-S1-P3,ROB,B4,1,2,6534,137038.5906
9/4/2019,ROB-B4-S2-P3,ROB,B4,2,2,7072,148322.1477
9/4/2019,ROB-B4-S3-P3,ROB,B4,3,2,6359,133368.2886
9/4/2019,ROB-B5-S1-P3,ROB,B5,1,2,6185,129718.9597
9/4/2019,ROB-B5-S2-P3,ROB,B5,2,2,5962,125041.9463
9/4/2019,ROB-B5-S3-P3,ROB,B5,3,2,6296,132046.9799
10/30/2019,ROB-B1-S1-P3,ROB,B1,1,2,2298,48196.30872
10/30/2019,ROB-B1-S2-P3,ROB,B1,2,2,2669,55977.34899
10/30/2019,ROB-B1-S3-P3,ROB,B1,3,2,3133,65708.89262
10/30/2019,ROB-B2-S1-P3,ROB,B2,1,2,1544,32382.55034
10/30/2019,ROB-B2-S2-P3,ROB,B2,2,2,1358,28481.54362
10/30/2019,ROB-B2-S3-P3,ROB,B2,3,2,.,.
10/30/2019,ROB-B3-S1-P3,ROB,B3,1,2,2762,57927.85235
10/30/2019,ROB-B3-S2-P3,ROB,B3,2,2,3085,64702.18121
10/30/2019,ROB-B3-S3-P3,ROB,B3,3,2,3467,72713.92617
10/30/2019,ROB-B4-S1-P3,ROB,B4,1,2,1558,32676.1745
10/30/2019,ROB-B4-S2-P3,ROB,B4,2,2,.,.
10/30/2019,ROB-B4-S3-P3,ROB,B4,3,2,.,.
10/30/2019,ROB-B5-S1-P3,ROB,B5,1,2,3793,79551.1745
10/30/2019,ROB-B5-S2-P3,ROB,B5,2,2,1618,33934.56376
10/30/2019,ROB-B5-S3-P3,ROB,B5,3,2,3125,65541.10738
